date,regime,actual_next_regime,regime_persisted,prev_close,open,high,low,close,gap_pct,open_vs_cpr,cpr_lower,cpr_upper,pivot,r1,r2,s1,s2,call_strike,put_strike,call_survived,put_survived,strangle_profitable,call_margin,put_margin,predicted_direction,actual_direction,direction_correct,expected_drift_pts,actual_drift_pts,actual_range,vix_implied_range,actual_range_ratio,call_otm_mult_used,put_otm_mult_used,markov_weight_used,vix_range_mult_used
2026-05-27,Bear,Bear,True,23892.5,23880.35,23983.2,23858.25,23907.15,-0.05%,below_cpr,23903.6,23925.8,23914.7,23961.0,24029.4,23846.3,23800.0,24100,23600,True,True,True,+116.8,+258.2,Down,Sideways,False,-49.3,+26.8,124.9,364.2,0.343,1.12,1.18,0.6,1.5
2026-05-29,Bear,Bear,True,23787.35,23902.15,24002.8,23484.75,23547.75,+0.48%,inside_cpr,23822.9,23894.1,23858.5,23931.7,24076.0,23714.2,23641.0,24000,23500,False,False,False,-2.8,-15.2,Down,Down,True,-48.5,-354.4,518.1,336.7,1.539,1.12,1.18,0.6,1.5
2026-06-01,Bear,Bear,True,23411.85,23654.5,23733.7,23357.95,23382.6,+1.04%,strong_above_cpr,23460.2,23556.8,23508.5,23637.0,23862.2,23283.3,23154.7,23650,23050,False,True,False,-83.7,+307.9,Down,Down,True,-48.3,-271.9,375.8,358.2,1.049,1.12,1.18,0.6,1.5
2026-06-02,Bear,Bear,True,23513.45,23229.15,23556.95,23229.15,23483.55,-1.21%,strong_below_cpr,23382.1,23469.7,23425.9,23622.6,23731.8,23316.7,23120.0,23750,23000,True,True,True,+193.1,+229.2,Down,Up,False,-48.8,+254.4,327.8,367.5,0.892,1.12,1.18,0.6,1.5
2026-06-03,Bear,Bear,True,23379.05,23415.95,23459.65,23151.5,23405.6,+0.16%,strong_above_cpr,23299.6,23352.6,23326.1,23500.6,23622.2,23204.5,23029.9,23600,22900,True,True,True,+140.3,+251.5,Down,Sideways,False,-48.1,-10.3,308.2,339.3,0.908,1.12,1.18,0.6,1.5
2026-06-04,Bear,Bear,True,23373.7,23282.45,23465.3,23247.3,23416.55,-0.39%,strong_below_cpr,23354.8,23367.4,23361.1,23474.9,23576.1,23259.9,23146.1,23600,23000,True,True,True,+134.7,+247.3,Down,Up,False,-48.5,+134.1,218.0,359.6,0.606,1.12,1.18,0.55,1.5
2026-06-05,Bear,Bear,True,23336.05,23478.95,23516.35,23282.65,23366.7,+0.61%,strong_above_cpr,23362.5,23415.5,23389.0,23463.4,23590.7,23261.7,23187.4,23600,23000,True,True,True,+83.7,+282.7,Down,Down,True,-48.4,-112.2,233.7,359.0,0.651,1.12,1.18,0.5,1.5
2026-06-08,Bear,Bear,True,23178.9,23080.7,23267.3,23070.15,23123.0,-0.42%,strong_below_cpr,23168.7,23175.5,23172.1,23274.1,23369.3,23076.9,22975.0,23500,22750,True,True,True,+232.7,+320.2,Down,Sideways,False,-48.6,+42.3,197.2,345.8,0.57,1.12,1.18,0.45,1.5
2026-06-09,Bear,Bear,True,23200.15,23259.05,23279.4,23104.45,23242.1,+0.25%,strong_above_cpr,23181.9,23194.1,23188.0,23271.6,23343.0,23116.6,23033.0,23500,22800,True,True,True,+220.6,+304.4,Down,Sideways,False,-48.5,-17.0,175.0,373.3,0.469,1.12,1.18,0.4,1.5
2026-06-10,Bear,Bear,True,23390.5,23233.95,23425.35,23184.6,23214.95,-0.67%,strong_below_cpr,23321.3,23367.4,23344.4,23471.5,23552.4,23263.4,23136.3,23700,22900,True,True,True,+274.7,+284.6,Down,Sideways,False,-49.0,-19.0,240.8,321.4,0.749,1.12,1.18,0.35,1.4
2026-06-11,Bear,Bear,True,23231.85,23104.4,23327.45,23072.05,23161.6,-0.55%,strong_below_cpr,23199.8,23221.1,23210.4,23348.8,23465.8,23093.5,22955.1,23600,22700,True,True,True,+272.6,+372.1,Down,Sideways,False,-49.0,+57.2,255.4,320.2,0.798,1.12,1.18,0.35,1.4
2026-06-12,Bear,Sideways,False,23462.55,23412.55,23645.35,23313.9,23622.9,-0.21%,inside_cpr,23397.1,23440.7,23418.9,23523.9,23585.2,23357.6,23252.6,23850,23000,True,True,True,+204.7,+313.9,Down,Up,False,-49.1,+210.3,331.4,323.0,1.026,1.12,1.18,0.35,1.4
2026-06-15,Sideways,Sideways,True,23861.65,23984.85,24011.4,23817.8,23853.9,+0.52%,strong_above_cpr,23879.3,23914.7,23897.0,23976.0,24090.4,23782.7,23703.7,24300,23450,True,True,True,+288.6,+367.8,Sideways,Down,False,+27.9,-130.9,193.6,309.8,0.625,1.12,1.18,0.35,1.4
2026-06-16,Sideways,Sideways,True,23990.85,23923.9,24002.6,23888.2,23989.15,-0.28%,below_cpr,23945.3,23975.7,23960.5,24032.8,24074.7,23918.6,23846.3,24400,23550,True,True,True,+397.4,+338.2,Sideways,Sideways,True,+28.1,+65.2,114.4,303.6,0.377,1.12,1.18,0.35,1.4
2026-06-17,Sideways,Sideways,True,24043.05,24044.5,24108.2,23969.7,24085.7,+0.01%,inside_cpr,24038.9,24041.7,24040.3,24110.9,24178.8,23972.4,23901.8,24450,23650,True,True,True,+341.8,+319.7,Sideways,Sideways,True,+28.5,+41.2,138.5,263.1,0.526,1.12,1.18,0.35,1.3
2026-06-18,Sideways,Sideways,True,24113.1,24073.8,24189.25,24036.95,24168.0,-0.16%,below_cpr,24088.3,24104.8,24096.6,24156.2,24199.3,24053.5,23993.9,24500,23700,True,True,True,+310.8,+336.9,Sideways,Sideways,True,+28.6,+94.2,152.3,240.4,0.634,1.12,1.18,0.35,1.2
2026-06-19,Sideways,Sideways,True,23959.8,23991.2,24047.2,23901.9,24013.1,+0.13%,above_cpr,23960.6,23962.3,23961.5,24009.8,24059.8,23911.5,23863.1,24350,23550,True,True,True,+302.8,+351.9,Sideways,Sideways,True,+28.2,+21.9,145.3,210.4,0.691,1.12,1.18,0.35,1.1
2026-06-22,Sideways,Sideways,True,24118.45,24106.6,24168.05,24073.15,24102.9,-0.05%,below_cpr,24119.2,24120.6,24119.9,24166.6,24214.8,24071.7,24025.0,24500,23750,True,True,True,+331.9,+323.2,Sideways,Sideways,True,+28.5,-3.7,94.9,197.1,0.481,1.12,1.18,0.35,1.0
2026-06-23,Bear,Bear,True,23919.45,24071.3,24135.5,23784.95,23824.1,+0.63%,above_cpr,23953.7,24022.2,23987.9,24067.0,24214.6,23840.4,23761.3,24250,23500,True,True,True,+114.5,+284.9,Down,Down,True,-50.5,-247.2,350.6,193.5,1.812,1.12,1.18,0.35,1.0
2026-06-24,Sideways,Sideways,True,24010.85,23795.8,24090.05,23789.25,24021.65,-0.90%,strong_below_cpr,23901.5,23974.4,23938.0,24086.7,24162.6,23862.1,23713.4,24400,23450,True,True,True,+309.9,+339.2,Sideways,Up,False,+28.2,+225.8,300.8,210.8,1.427,1.12,1.18,0.35,1.0
2026-06-25,Sideways,Sideways,True,24195.35,24125.85,24261.6,24039.0,24056.0,-0.29%,strong_below_cpr,24184.7,24191.8,24188.2,24268.7,24342.0,24114.9,24034.5,24550,23750,True,True,True,+288.4,+289.0,Sideways,Sideways,True,+28.3,-69.8,222.6,204.1,1.091,1.12,1.18,0.35,1.0
2026-06-29,Sideways,Sideways,True,23954.55,24061.75,24120.0,23924.55,23946.25,+0.45%,above_cpr,23977.3,24022.7,24000.0,24074.6,24194.6,23880.0,23805.4,24350,23550,True,True,True,+230.0,+374.6,Sideways,Down,False,+28.1,-115.5,195.4,196.9,0.992,1.12,1.18,0.35,1.0
2026-06-30,Sideways,Sideways,True,23931.9,24032.05,24035.55,23829.2,23865.75,+0.42%,strong_above_cpr,23935.9,23943.8,23939.8,24027.7,24123.4,23844.0,23756.2,24300,23500,True,True,True,+264.4,+329.2,Sideways,Down,False,+27.4,-166.3,206.4,205.2,1.006,1.12,1.18,0.35,1.0
2026-07-01,Sideways,Sideways,True,24013.8,23897.65,24049.9,23895.1,24005.85,-0.48%,strong_below_cpr,23972.5,24000.0,23986.3,24077.4,24141.1,23922.6,23831.5,24400,23550,True,True,True,+350.1,+345.1,Sideways,Up,False,+27.5,+108.2,154.8,205.7,0.753,1.12,1.18,0.35,1.0
2026-07-02,Bull,Bull,True,24128.1,24062.2,24194.55,24058.8,24175.7,-0.27%,below_cpr,24109.1,24121.8,24115.4,24172.1,24216.1,24071.5,24014.8,24500,23800,True,True,True,+305.4,+258.8,Up,Up,True,+57.3,+113.5,135.8,201.2,0.675,1.12,1.18,0.35,1.0
2026-07-03,Bull,Bull,True,24362.05,24375.65,24378.15,24252.35,24270.85,+0.06%,above_cpr,24336.7,24353.6,24345.1,24395.1,24428.1,24312.1,24262.1,24750,24050,True,True,True,+371.8,+202.3,Up,Down,False,+58.1,-104.8,125.8,188.6,0.667,1.12,1.18,0.35,1.0
2026-07-06,Bull,Bull,True,24447.5,24306.85,24458.65,24287.1,24430.35,-0.58%,strong_below_cpr,24371.2,24422.1,24396.7,24506.2,24565.0,24337.9,24228.4,24800,24000,True,True,True,+341.3,+287.1,Up,Up,True,+58.4,+123.5,171.6,181.7,0.944,1.12,1.18,0.35,1.0
2026-07-07,Bull,Bull,True,24461.45,24464.45,24530.9,24348.95,24398.7,+0.01%,inside_cpr,24466.7,24477.2,24471.9,24520.4,24579.4,24413.0,24364.5,24850,24150,True,True,True,+319.1,+198.9,Up,Sideways,False,+58.1,-65.8,182.0,182.1,0.999,1.12,1.18,0.35,1.0
2026-07-08,Bull,Sideways,False,24256.6,24259.55,24300.0,23805.2,23882.05,+0.01%,inside_cpr,24253.6,24255.6,24254.6,24302.0,24347.4,24209.2,24161.8,24600,23950,True,False,False,+300.0,-144.8,Up,Down,False,+57.5,-377.5,494.8,178.0,2.78,1.12,1.18,0.35,1.0
2026-07-10,Bull,Bull,True,24194.5,24124.7,24228.45,24120.35,24206.9,-0.29%,below_cpr,24173.2,24187.4,24180.3,24240.3,24286.0,24134.5,24074.6,24550,23850,True,True,True,+321.6,+270.3,Up,Sideways,False,+57.0,+82.2,108.1,203.6,0.531,1.12,1.18,0.35,1.0
2026-07-13,Sideways,Sideways,True,24154.8,24039.4,24259.8,24000.2,24211.0,-0.48%,below_cpr,24081.1,24130.2,24105.7,24211.2,24267.5,24049.3,23943.8,24550,23650,True,True,True,+290.2,+350.2,Sideways,Up,False,+28.0,+171.6,259.6,186.4,1.393,1.12,1.18,0.35,1.0
2026-07-14,Sideways,Sideways,True,24138.25,24068.0,24157.1,24023.7,24052.05,-0.29%,below_cpr,24097.6,24124.7,24111.1,24184.2,24230.1,24065.2,23992.1,24500,23700,True,True,True,+342.9,+323.7,Sideways,Sideways,True,+28.3,-15.9,133.4,201.9,0.661,1.12,1.18,0.35,1.0
